Дата;Заказчик;Город;Категория товара;Товар;Цена за упаковку;Количество;Итого
01.01.2020 0:00;Лента;Москва;Овощи;Кабачки;325;20;6500
01.01.2020 0:00;Ашан;Екатеринбург;Фрукты;Абрикосы;1320;89;117480
01.01.2020 0:00;О'КЕЙ;Москва;Зелень;Салат айсберг;1380;27;37260
01.01.2020 0:00;Магнит;Екатеринбург;Зелень;Лук зеленый;705;6;4230
01.01.2020 0:00;Магнит;Екатеринбург;Зелень;Петрушка;640;72;46080
01.01.2020 0:00;Магнит;Ростов-на-Дону;Фрукты;Яблоки;1230;39;47970
01.01.2020 0:00;О'КЕЙ;Новосибирск;Овощи;Картофель;690;45;31050
01.01.2020 0:00;Магнит;Ростов-на-Дону;Овощи;Капуста;460;83;38180
01.01.2020 0:00;Лента;Новосибирск;Ягоды;Клубника;2460;58;142680
01.01.2020 0:00;Ашан;Волгоград;Овощи;Свекла;450;44;19800
01.01.2020 0:00;Магнит;Волгоград;Фрукты;Сливы;930;86;79980
01.01.2020 0:00;Ашан;Москва;Ягоды;Смородина черная;1505;6;9030
01.01.2020 0:00;Магнит;Ростов-на-Дону;Фрукты;Абрикосы;1320;32;42240
01.01.2020 0:00;О'КЕЙ;Екатеринбург;Ягоды;Черешня;1760;84;147840
01.01.2020 0:00;Ашан;Санкт-Петербург;Зелень;Петрушка;640;65;41600
01.01.2020 0:00;Лента;Ростов-на-Дону;Ягоды;Малина;2970;20;59400
01.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Ягоды;Брусника;1670;49;81830
01.01.2020 0:00;Магнит;Ростов-на-Дону;Овощи;Картофель;690;15;10350
01.01.2020 0:00;Лента;Москва;Овощи;Морковь;715;14;10010
02.01.2020 0:00;Магнит;Волгоград;Овощи;Свекла;450;96;43200
02.01.2020 0:00;Ашан;Новосибирск;Фрукты;Бананы;2400;33;79200
02.01.2020 0:00;О'КЕЙ;Ростов-на-Дону;Фрукты;Абрикосы;1320;54;71280
02.01.2020 0:00;Ашан;Волгоград;Овощи;Морковь;715;94;67210
02.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Овощи;Морковь;715;15;10725
02.01.2020 0:00;Лента;Новосибирск;Овощи;Баклажаны;890;26;23140
02.01.2020 0:00;О'КЕЙ;Екатеринбург;Овощи;Картофель;690;9;6210
02.01.2020 0:00;Лента;Ростов-на-Дону;Овощи;Кабачки;325;21;6825
02.01.2020 0:00;Магнит;Ростов-на-Дону;Ягоды;Смородина черная;1505;21;31605
